,contestId,index,rating,tags
0,1740,C,1400,"['constructive algorithms', 'games', 'greedy', 'sortings']"
4,1740,D,1500,"['constructive algorithms', 'data structures', 'greedy', 'math']"
6,1740,B,800,"['geometry', 'greedy', 'sortings']"
7,1740,A,800,"['math', 'number theory']"
8,1517,D,1800,"['dp', 'graphs', 'shortest paths']"
9,1746,C,1300,"['constructive algorithms', 'greedy', 'implementation', 'math']"
12,1754,D,1600,['math']
17,1754,C1,1300,['constructive algorithms']
19,1754,B,800,"['constructive algorithms', 'greedy', 'math']"
20,1754,A,800,['greedy']
22,1749,D,1900,"['combinatorics', 'dp', 'math', 'number theory']"
27,1749,B,900,['greedy']
31,1749,C,1400,"['binary search', 'data structures', 'games', 'greedy', 'implementation']"
32,1749,A,800,"['greedy', 'implementation']"
33,1744,E2,1900,"['brute force', 'math', 'number theory']"
36,1741,E,1600,['dp']
37,1744,D,1200,"['greedy', 'math', 'sortings']"
38,1743,D,1700,"['brute force', 'dp', 'greedy', 'probabilities']"
41,1743,C,1100,"['constructive algorithms', 'dp', 'greedy']"
42,1743,B,800,"['constructive algorithms', 'greedy']"
43,1743,A,800,"['brute force', 'combinatorics', 'implementation', 'math']"
44,1744,E1,1500,"['brute force', 'math', 'number theory']"
47,1744,C,1000,"['binary search', 'implementation', 'two pointers']"
48,1744,B,800,"['implementation', 'math']"
49,1744,A,800,"['greedy', 'implementation']"
50,1742,G,1500,"['bitmasks', 'brute force', 'greedy', 'math', 'sortings']"
51,1742,F,1500,"['constructive algorithms', 'greedy', 'strings']"
52,1742,D,1100,"['brute force', 'greedy', 'number theory']"
53,1742,E,1200,"['binary search', 'greedy', 'math']"
58,1742,C,900,['implementation']
60,1742,B,800,"['greedy', 'implementation', 'sortings']"
61,1742,A,800,['implementation']
89,1741,D,1300,"['dfs and similar', 'divide and conquer', 'graphs', 'sortings', 'trees']"
91,1741,C,1100,"['brute force', 'greedy', 'math', 'two pointers']"
93,1741,B,800,"['constructive algorithms', 'math']"
94,1741,A,800,"['implementation', 'implementation', 'strings']"
95,1739,B,1100,"['constructive algorithms', 'greedy', 'math']"
96,1739,A,800,['implementation']
98,1730,C,1200,"['data structures', 'greedy', 'math', 'sortings']"
99,1730,A,800,"['data structures', 'greedy', 'sortings']"
100,1734,B,800,['constructive algorithms']
101,1734,C,1200,"['greedy', 'math']"
102,1734,A,800,"['brute force', 'greedy', 'sortings']"
104,1437,C,1800,"['dp', 'flows', 'graph matchings', 'greedy', 'math', 'sortings']"
109,1549,D,1800,"['binary search', 'data structures', 'math', 'two pointers']"
125,1729,F,1900,"['hashing', 'math']"
126,1328,D,1800,"['constructive algorithms', 'dp', 'graphs', 'greedy', 'math']"
131,1722,F,1700,"['dfs and similar', 'implementation']"
135,1733,D1,1400,"['constructive algorithms', 'greedy', 'math']"
141,1733,C,1300,"['constructive algorithms', 'sortings']"
146,1733,B,900,"['constructive algorithms', 'math']"
148,1733,A,800,"['greedy', 'sortings']"
149,1552,C,1800,"['combinatorics', 'constructive algorithms', 'geometry', 'greedy', 'sortings']"
154,1729,E,1800,"['interactive', 'probabilities']"
180,1729,D,1200,"['greedy', 'sortings', 'two pointers']"
181,1729,C,1100,"['constructive algorithms', 'strings']"
182,1729,B,800,"['greedy', 'strings']"
183,1729,A,800,['math']
184,371,D,1800,"['data structures', 'dsu', 'implementation', 'trees']"
186,1475,D,1800,"['binary search', 'dp', 'sortings', 'two pointers']"
203,1728,C,1400,"['data structures', 'greedy', 'sortings']"
208,1728,B,800,"['constructive algorithms', 'greedy']"
209,1728,A,800,"['brute force', 'greedy', 'implementation', 'sortings']"
211,1552,D,1800,"['bitmasks', 'brute force', 'constructive algorithms', 'dfs and similar', 'dp', 'graphs', 'math']"
214,1726,B,1100,"['bitmasks', 'constructive algorithms', 'math']"
215,1726,A,900,"['greedy', 'math']"
216,1726,C,1300,"['data structures', 'dsu', 'graphs', 'greedy']"
217,1535,D,1800,"['data structures', 'dfs and similar', 'dp', 'implementation', 'trees']"
221,1619,D,1800,"['binary search', 'greedy', 'sortings']"
224,1560,E,1800,"['binary search', 'implementation', 'sortings', 'strings']"
228,1717,B,1100,"['constructive algorithms', 'implementation']"
229,1717,C,1300,['greedy']
231,1717,A,800,"['math', 'number theory']"
232,1525,D,1800,"['dp', 'flows', 'graph matchings', 'greedy']"
236,1554,C,1800,"['binary search', 'bitmasks', 'greedy', 'implementation']"
238,1509,C,1800,"['dp', 'greedy']"
240,1554,D,1800,"['constructive algorithms', 'greedy', 'strings']"
241,1722,E,1600,"['brute force', 'data structures', 'dp', 'implementation']"
246,1722,D,1100,"['greedy', 'sortings']"
252,1722,C,800,"['data structures', 'implementation']"
253,1722,B,800,['implementation']
254,1722,A,800,['implementation']
255,1721,B,1000,['implementation']
257,1721,A,800,"['greedy', 'implementation']"
258,1081,C,1500,"['combinatorics', 'dp', 'math']"
260,1715,C,1700,"['combinatorics', 'data structures', 'implementation', 'math']"
266,1715,B,1000,"['constructive algorithms', 'greedy', 'math']"
270,1715,D,1900,"['2-sat', 'bitmasks', 'graphs', 'greedy']"
275,1715,A,800,"['constructive algorithms', 'greedy', 'math']"
276,1681,D,1700,"['brute force', 'dfs and similar', 'dp', 'hashing', 'shortest paths']"
281,1681,C,1200,"['implementation', 'sortings']"
284,1681,B,800,"['implementation', 'math']"
285,1681,A,800,"['games', 'greedy']"
286,1720,B,800,"['brute force', 'data structures', 'greedy', 'math', 'sortings']"
287,1720,A,900,"['math', 'number theory']"
288,231,A,800,"['brute force', 'greedy']"
289,1719,C,1400,"['binary search', 'data structures', 'implementation', 'two pointers']"
292,1719,B,800,"['constructive algorithms', 'math']"
293,1719,A,800,"['games', 'math']"
294,1712,D,2000,"['binary search', 'constructive algorithms', 'data structures', 'greedy', 'shortest paths']"
299,1712,C,1100,"['greedy', 'sortings']"
301,263,A,800,['implementation']
308,1712,B,800,"['constructive algorithms', 'greedy', 'number theory']"
309,1712,A,800,"['greedy', 'implementation']"
310,274,B,1800,"['dfs and similar', 'dp', 'greedy', 'trees']"
317,1716,B,800,"['constructive algorithms', 'math']"
323,1716,A,800,"['greedy', 'math']"
327,1713,C,1200,"['constructive algorithms', 'dp', 'math']"
329,1713,B,1000,"['constructive algorithms', 'sortings']"
330,1713,A,800,"['geometry', 'greedy', 'implementation']"
331,1714,B,800,"['data structures', 'greedy', 'implementation']"
332,1704,B,1000,"['brute force', 'greedy', 'implementation']"
333,1704,C,1200,"['greedy', 'implementation', 'sortings']"
337,1704,A,800,"['constructive algorithms', 'greedy']"
338,1707,A,1600,"['binary search', 'constructive algorithms', 'greedy', 'implementation']"
363,1609,D,1600,"['dsu', 'graphs', 'greedy', 'implementation', 'trees']"
369,689,E,2000,"['combinatorics', 'data structures', 'dp', 'geometry', 'implementation']"
371,294,B,1700,"['dp', 'greedy']"
386,350,C,1600,"['greedy', 'implementation', 'sortings']"
398,1272,C,1200,"['combinatorics', 'dp', 'implementation']"
399,1182,A,1000,"['dp', 'math']"
400,214,B,1600,"['brute force', 'constructive algorithms', 'greedy', 'math']"
410,455,A,1500,['dp']
416,182,D,1400,"['brute force', 'hashing', 'implementation', 'math', 'strings']"
421,282,C,1500,"['constructive algorithms', 'implementation', 'math']"
425,446,A,1600,"['dp', 'implementation', 'two pointers']"
439,313,C,1400,"['constructive algorithms', 'greedy', 'implementation', 'sortings']"
440,1711,B,1300,"['brute force', 'graphs']"
446,1349,A,1600,"['data structures', 'math', 'number theory']"
447,1526,C2,1600,"['data structures', 'greedy']"
452,1526,C1,1500,"['brute force', 'data structures', 'dp', 'greedy']"
462,1363,C,1600,"['games', 'trees']"
474,1711,A,800,['constructive algorithms']
476,1,B,1600,"['implementation', 'math']"
498,1709,D,1700,"['binary search', 'data structures', 'greedy', 'math']"
513,1709,B,900,"['data structures', 'dp', 'implementation']"
514,1709,A,800,"['brute force', 'greedy', 'implementation', 'math']"
515,59,E,2000,"['graphs', 'shortest paths']"
516,1706,D2,2400,"['brute force', 'constructive algorithms', 'data structures', 'dp', 'greedy', 'math', 'number theory', 'two pointers']"
521,1706,D1,1700,"['binary search', 'brute force', 'constructive algorithms', 'greedy', 'number theory']"
522,1706,C,1400,"['dp', 'flows', 'greedy', 'implementation']"
524,1420,D,1800,"['combinatorics', 'data structures', 'sortings']"
528,1706,B,1100,"['dp', 'greedy', 'math']"
530,1706,A,800,"['2-sat', 'constructive algorithms', 'greedy', 'string suffix structures', 'strings']"
531,466,C,1700,"['binary search', 'brute force', 'data structures', 'dp', 'two pointers']"
535,1702,F,1700,"['constructive algorithms', 'data structures', 'greedy', 'math', 'number theory']"
536,1702,D,1000,['greedy']
537,1702,C,1100,"['data structures', 'greedy']"
539,1702,B,800,['greedy']
540,1702,A,800,['constructive algorithms']
541,1702,E,1600,"['dfs and similar', 'dsu', 'graphs']"
547,1703,F,1300,"['binary search', 'data structures', 'dp', 'greedy', 'sortings']"
548,1703,E,1200,['implementation']
550,1703,D,1100,"['brute force', 'data structures', 'strings']"
551,1703,C,800,"['brute force', 'implementation', 'strings']"
552,1703,B,800,"['data structures', 'implementation']"
553,1703,A,800,"['brute force', 'implementation', 'strings']"
554,1701,C,1400,"['binary search', 'greedy', 'implementation', 'two pointers']"
556,1702,G1,1900,"['dfs and similar', 'trees']"
574,1701,D,1900,"['binary search', 'data structures', 'greedy', 'math', 'sortings', 'two pointers']"
576,1701,B,800,['greedy']
578,1701,A,800,['implementation']
579,1353,D,1600,"['constructive algorithms', 'data structures', 'sortings']"
582,1692,A,800,['implementation']
583,1692,B,800,"['greedy', 'sortings']"
584,1692,C,800,['implementation']
585,1692,E,1200,"['binary search', 'implementation', 'two pointers']"
586,1692,G,1400,"['data structures', 'dp', 'sortings', 'two pointers']"
587,1692,F,1300,"['brute force', 'math']"
589,1697,B,900,"['greedy', 'sortings']"
590,1697,C,1400,"['binary search', 'constructive algorithms', 'data structures', 'greedy', 'implementation', 'strings', 'two pointers']"
594,1682,A,800,"['greedy', 'strings']"
598,1697,A,800,"['greedy', 'implementation']"
599,1682,B,1100,"['bitmasks', 'constructive algorithms', 'sortings']"
600,1689,C,1600,"['dfs and similar', 'dp', 'trees']"
602,1689,A,800,"['brute force', 'greedy', 'implementation', 'sortings', 'two pointers']"
603,1689,B,900,"['data structures', 'greedy']"
605,1690,F,1700,"['graphs', 'math', 'number theory', 'strings']"
607,1336,A,1600,"['dfs and similar', 'dp', 'greedy', 'sortings', 'trees']"
620,377,A,1600,['dfs and similar']
621,1398,C,1600,"['data structures', 'dp', 'math']"
623,1327,A,1100,['math']
624,1690,E,1500,"['binary search', 'greedy', 'math', 'two pointers']"
