contestId,index,rating,tags
1740,E,1800,"['constructive algorithms', 'data structures', 'dfs and similar', 'dp', 'greedy', 'trees']"
1740,D,1500,"['constructive algorithms', 'data structures']"
1740,C,1400,"['constructive algorithms', 'games', 'greedy', 'sortings']"
1740,B,800,"['geometry', 'greedy', 'sortings']"
1740,A,800,"['constructive algorithms', 'math', 'number theory']"
1736,D,2200,"['constructive algorithms', 'geometry', 'greedy', 'implementation', 'strings']"
1736,C1,1300,"['binary search', 'data structures', 'schedules', 'two pointers']"
1736,B,1200,"['math', 'number theory']"
1736,A,800,"['brute force', 'greedy', 'sortings']"
1730,C,1200,"['data structures', 'greedy', 'math', 'sortings']"
1730,B,1600,"['binary search', 'geometry', 'greedy', 'implementation', 'math', 'ternary search']"
1730,A,800,"['data structures', 'greedy', 'sortings']"
1722,G,1500,"['bitmasks', 'constructive algorithms', 'greedy']"
1721,E,2200,"['dfs and similar', 'dp', 'hashing', 'string suffix structures', 'strings', 'trees']"
1721,B,1000,['implementation']
1721,D,1800,"['bitmasks', 'dfs and similar', 'divide and conquer', 'greedy', 'sortings']"
1721,C,1400,"['binary search', 'greedy', 'two pointers']"
1721,A,800,"['greedy', 'implementation']"
1715,D,1900,"['2-sat', 'bitmasks', 'graphs', 'greedy']"
1715,C,1700,"['combinatorics', 'data structures', 'implementation', 'math']"
1715,B,1000,"['constructive algorithms', 'greedy', 'math']"
1715,A,800,"['constructive algorithms', 'greedy', 'math']"
1712,D,2000,"['binary search', 'constructive algorithms', 'data structures', 'greedy', 'shortest paths']"
1712,C,1100,"['greedy', 'sortings']"
1712,B,800,"['constructive algorithms', 'greedy', 'number theory']"
1712,A,800,"['greedy', 'implementation']"
1708,B,1100,"['constructive algorithms', 'math']"
1708,C,1600,"['binary search', 'greedy']"
1708,A,800,"['greedy', 'math']"
1702,E,1600,"['dfs and similar', 'dsu', 'graphs']"
1702,D,1000,['greedy']
1702,A,800,['constructive algorithms']
1696,D,1900,"['binary search', 'constructive algorithms', 'data structures', 'divide and conquer', 'greedy', 'shortest paths']"
1696,B,900,['greedy']
1696,A,800,"['bitmasks', 'greedy']"
1695,D2,2300,"['constructive algorithms', 'dfs and similar', 'dp', 'greedy', 'trees']"
1695,D1,2200,"['brute force', 'constructive algorithms', 'dfs and similar', 'dp', 'greedy', 'trees']"
1695,C,1700,"['brute force', 'data structures', 'dp', 'graphs', 'greedy', 'shortest paths']"
1695,B,1000,"['games', 'greedy']"
1695,A,800,['games']
1689,E,2500,"['bitmasks', 'brute force', 'constructive algorithms', 'dfs and similar', 'dsu', 'graphs']"
1689,D,1900,"['data structures', 'dp', 'geometry', 'shortest paths']"
1689,C,1600,"['dfs and similar', 'dp', 'trees']"
1689,B,900,"['data structures', 'greedy']"
1689,A,800,"['brute force', 'greedy', 'implementation', 'sortings', 'two pointers']"
1691,C,1400,"['brute force', 'constructive algorithms', 'greedy', 'math', 'strings']"
1691,B,1000,"['constructive algorithms', 'greedy', 'implementation', 'two pointers']"
1691,A,800,"['brute force', 'greedy', 'math']"
1672,B,800,"['constructive algorithms', 'implementation']"
1672,A,800,"['games', 'implementation', 'math']"
1661,C,1700,"['binary search', 'greedy', 'math']"
1661,B,1300,"['bitmasks', 'brute force', 'dfs and similar', 'dp', 'graphs', 'greedy', 'shortest paths']"
1661,A,800,"['greedy', 'math']"
1663,H,,"['*special', 'constructive algorithms']"
1663,C,,"['*special', 'implementation', 'math']"
1663,A,,"['*special', 'expression parsing', 'trees']"
1658,D2,2300,"['bitmasks', 'brute force', 'data structures', 'math']"
1658,A,800,"['constructive algorithms', 'implementation', 'math']"
1658,D1,1600,"['bitmasks', 'math']"
1658,C,1700,"['constructive algorithms', 'math']"
1658,B,800,"['combinatorics', 'math', 'number theory']"
1654,C,1400,"['data structures', 'greedy', 'implementation', 'sortings']"
1654,B,800,['strings']
1654,A,800,"['brute force', 'greedy', 'implementation', 'sortings']"
1632,C,1600,"['binary search', 'bitmasks', 'brute force', 'dp', 'math']"
1646,D,2000,"['constructive algorithms', 'dfs and similar', 'dp', 'implementation', 'trees']"
1646,E,2200,"['brute force', 'dp', 'math', 'number theory']"
1646,B,800,"['brute force', 'constructive algorithms', 'greedy', 'sortings', 'two pointers']"
1646,C,1500,"['bitmasks', 'brute force', 'constructive algorithms', 'dp', 'math']"
1646,A,800,['math']
1644,E,1900,"['brute force', 'combinatorics', 'data structures', 'implementation', 'math']"
1644,D,1700,"['data structures', 'implementation', 'math']"
1644,B,800,"['brute force', 'constructive algorithms', 'implementation']"
1644,A,800,['implementation']
1644,C,1400,"['brute force', 'dp', 'greedy', 'implementation']"
1638,E,2400,"['brute force', 'data structures', 'implementation']"
1638,C,1300,"['data structures', 'dsu', 'graphs', 'math']"
1638,B,1100,"['data structures', 'math', 'sortings']"
1638,A,800,"['constructive algorithms', 'greedy', 'math']"
1637,E,2100,"['binary search', 'brute force', 'implementation']"
1637,D,1800,"['dp', 'greedy', 'math']"
1637,B,1100,"['brute force', 'dp', 'greedy', 'math']"
1637,A,800,"['brute force', 'sortings']"
1634,D,2000,"['constructive algorithms', 'interactive', 'math']"
1634,C,1000,['constructive algorithms']
1634,B,1400,"['bitmasks', 'math']"
1634,A,800,"['greedy', 'strings']"
1632,D,2000,"['binary search', 'data structures', 'greedy', 'math', 'number theory', 'two pointers']"
1632,B,1000,"['bitmasks', 'constructive algorithms']"
1632,A,800,['implementation']
1629,D,1700,"['greedy', 'strings']"
