contestId,index,rating,tags
1740,D,1500,"['constructive algorithms', 'data structures']"
1754,D,1600,['math']
1754,C2,1500,"['constructive algorithms', 'implementation']"
1754,C1,1300,['constructive algorithms']
1754,B,800,"['constructive algorithms', 'greedy', 'math']"
1754,A,800,['greedy']
1551,C,1500,"['greedy', 'sortings', 'strings']"
1552,B,1500,"['combinatorics', 'graphs', 'greedy', 'sortings']"
1553,D,1500,"['dp', 'greedy', 'strings', 'two pointers']"
1569,C,1500,"['combinatorics', 'math']"
1749,C,1400,"['binary search', 'data structures', 'games', 'greedy', 'implementation']"
1749,B,900,['greedy']
1749,A,800,"['greedy', 'implementation']"
1579,C,1500,"['greedy', 'implementation']"
1743,D,1700,"['brute force', 'dp', 'greedy', 'probabilities']"
1743,C,1100,"['constructive algorithms', 'dp', 'greedy']"
1614,C,1500,"['bitmasks', 'combinatorics', 'constructive algorithms', 'dp', 'math']"
1744,E1,1500,"['brute force', 'math', 'number theory']"
1744,E2,1900,"['brute force', 'math', 'number theory']"
1744,D,1200,"['greedy', 'math', 'sortings']"
1744,C,1000,"['binary search', 'implementation', 'two pointers']"
1744,B,800,"['implementation', 'math']"
1744,A,800,"['greedy', 'implementation']"
1746,C,1300,"['constructive algorithms', 'greedy', 'implementation', 'math']"
1742,G,1500,"['bitmasks', 'brute force', 'greedy', 'math', 'sortings']"
1742,D,1100,"['brute force', 'greedy', 'number theory']"
1742,F,1500,"['constructive algorithms', 'greedy', 'strings']"
1742,E,1200,"['binary search', 'greedy', 'math']"
1742,C,900,['implementation']
1742,B,800,"['greedy', 'implementation', 'sortings']"
1742,A,800,['implementation']
1741,D,1300,"['dfs and similar', 'divide and conquer', 'graphs', 'sortings', 'trees']"
1741,C,1100,"['brute force', 'greedy', 'math', 'two pointers']"
1741,B,800,"['constructive algorithms', 'math']"
1741,A,800,"['implementation', 'implementation', 'strings']"
1736,B,1200,"['math', 'number theory']"
1736,C1,1300,"['binary search', 'data structures', 'schedules', 'two pointers']"
1736,A,800,"['brute force', 'greedy', 'sortings']"
