contestId,index,rating,tags
1754,B,800.0,"['constructive algorithms', 'greedy', 'math']"
1754,A,800.0,['greedy']
1753,F,3500.0,"['brute force', 'two pointers']"
1753,E,3300.0,"['binary search', 'brute force', 'greedy']"
1753,D,2400.0,"['constructive algorithms', 'dfs and similar', 'graphs', 'shortest paths']"
1753,C,2000.0,"['dp', 'math', 'probabilities']"
1753,B,1600.0,"['math', 'number theory']"
1753,A2,1500.0,"['constructive algorithms', 'dp', 'greedy']"
1753,A1,1300.0,"['constructive algorithms', 'dp', 'greedy']"
1749,F,2800.0,"['data structures', 'dfs and similar', 'trees']"
1749,E,2400.0,"['constructive algorithms', 'dfs and similar', 'graphs', 'shortest paths']"
1749,D,1900.0,"['combinatorics', 'dp', 'math', 'number theory']"
1749,C,1400.0,"['binary search', 'data structures', 'games', 'greedy', 'implementation']"
1749,B,900.0,['greedy']
1749,A,800.0,"['greedy', 'implementation']"
1746,G,3500.0,"['binary search', 'data structures', 'dp', 'flows', 'geometry', 'implementation', 'sortings']"
1746,F,2800.0,"['data structures', 'hashing', 'probabilities']"
1746,E2,3200.0,"['dp', 'interactive']"
1746,E1,2500.0,"['binary search', 'constructive algorithms', 'interactive', 'ternary search']"
1746,D,1900.0,"['dfs and similar', 'dp', 'greedy', 'sortings', 'trees']"
1746,C,1300.0,"['constructive algorithms', 'greedy', 'implementation', 'math']"
1746,B,800.0,"['constructive algorithms', 'greedy', 'two pointers']"
1746,A,800.0,"['constructive algorithms', 'greedy']"
1744,F,2000.0,"['math', 'two pointers']"
1744,E2,1900.0,"['brute force', 'math', 'number theory']"
1744,E1,1500.0,"['brute force', 'math', 'number theory']"
1744,D,1200.0,"['greedy', 'math', 'sortings']"
1744,C,1000.0,"['binary search', 'implementation', 'two pointers']"
1744,B,800.0,"['implementation', 'math']"
1744,A,800.0,"['greedy', 'implementation']"
1743,G,3000.0,"['bitmasks', 'combinatorics', 'constructive algorithms', 'data structures', 'dp', 'hashing', 'math']"
1743,F,2300.0,"['data structures', 'dp', 'matrices', 'probabilities']"
1743,E,2400.0,"['binary search', 'dp']"
1743,D,1700.0,"['brute force', 'dp', 'greedy', 'probabilities']"
1743,C,1100.0,"['constructive algorithms', 'dp', 'greedy']"
1743,B,800.0,"['constructive algorithms', 'greedy']"
1743,A,800.0,"['brute force', 'combinatorics', 'implementation', 'math']"
1742,G,1500.0,"['bitmasks', 'brute force', 'greedy', 'math', 'sortings']"
1742,F,1500.0,"['constructive algorithms', 'greedy', 'strings']"
1742,E,1200.0,"['binary search', 'greedy', 'math']"
1742,D,1100.0,"['brute force', 'greedy', 'number theory']"
1742,C,900.0,['implementation']
1742,B,800.0,"['greedy', 'implementation', 'sortings']"
1742,A,800.0,['implementation']
1741,G,2200.0,"['bitmasks', 'brute force', 'dfs and similar', 'dp', 'flows', 'graphs', 'shortest paths']"
1741,F,2000.0,"['binary search', 'data structures', 'math', 'sortings']"
1741,E,1600.0,['dp']
1741,D,1300.0,"['dfs and similar', 'divide and conquer', 'graphs', 'sortings', 'trees']"
1741,C,1100.0,"['brute force', 'greedy', 'math', 'two pointers']"
1741,B,800.0,"['constructive algorithms', 'math']"
1741,A,800.0,"['implementation', 'implementation', 'strings']"
1740,I,3500.0,"['data structures', 'divide and conquer', 'divide and conquer', 'dp', 'geometry', 'graphs', 'number theory']"
1740,H,3300.0,"['data structures', 'trees']"
1740,G,3100.0,"['constructive algorithms', 'dsu', 'sortings']"
1740,F,2600.0,"['combinatorics', 'dp', 'graphs', 'math']"
1740,E,1800.0,"['constructive algorithms', 'data structures', 'dfs and similar', 'dp', 'greedy', 'trees']"
1740,D,1500.0,"['constructive algorithms', 'data structures', 'greedy', 'math']"
1740,C,1400.0,"['constructive algorithms', 'games', 'greedy', 'sortings']"
1740,B,800.0,"['geometry', 'greedy', 'sortings']"
1740,A,800.0,"['math', 'number theory']"
1739,F,2600.0,"['bitmasks', 'data structures', 'dp', 'string suffix structures', 'strings']"
1739,E,2400.0,"['bitmasks', 'dp']"
