contestId,index,rating,tags
1754,B,800,"['constructive algorithms', 'greedy', 'math']"
1743,D,1700,"['brute force', 'dp', 'greedy', 'probabilities']"
1743,C,1100,"['constructive algorithms', 'dp', 'greedy']"
1743,B,800,"['constructive algorithms', 'greedy']"
1743,A,800,"['brute force', 'combinatorics', 'implementation', 'math']"
1744,E1,1500,"['brute force', 'math', 'number theory']"
1744,D,1200,"['greedy', 'math', 'sortings']"
1744,C,1000,"['binary search', 'implementation', 'two pointers']"
1744,B,800,"['implementation', 'math']"
1744,A,800,"['greedy', 'implementation']"
1741,D,1300,"['dfs and similar', 'divide and conquer', 'graphs', 'sortings', 'trees']"
1741,C,1100,"['brute force', 'greedy', 'math', 'two pointers']"
1741,B,800,"['constructive algorithms', 'math']"
1741,A,800,"['implementation', 'implementation', 'strings']"
1736,B,1200,"['math', 'number theory']"
1736,A,800,"['brute force', 'greedy', 'sortings']"
1736,C1,1300,"['binary search', 'data structures', 'schedules', 'two pointers']"
1735,B,900,"['greedy', 'math']"
1735,A,800,"['constructive algorithms', 'greedy', 'math']"
1738,C,1500,"['dp', 'games', 'greedy', 'math']"
1738,B,1200,"['constructive algorithms', 'greedy', 'math', 'sortings']"
1738,A,800,"['greedy', 'implementation', 'sortings']"
1739,C,1500,"['combinatorics', 'constructive algorithms', 'dp', 'games']"
1739,B,1100,"['constructive algorithms', 'greedy', 'math']"
1739,A,800,['implementation']
1730,B,1600,"['binary search', 'geometry', 'greedy', 'implementation', 'math', 'ternary search']"
1730,C,1200,"['data structures', 'greedy', 'math', 'sortings']"
1730,A,800,"['data structures', 'greedy', 'sortings']"
1312,D,1700,"['combinatorics', 'math']"
1733,D1,1400,"['constructive algorithms', 'greedy', 'math']"
1733,C,1300,"['constructive algorithms', 'sortings']"
1733,B,900,"['constructive algorithms', 'math']"
1733,A,800,"['greedy', 'sortings']"
1325,D,1700,"['bitmasks', 'constructive algorithms', 'greedy', 'number theory']"
1310,A,1700,"['data structures', 'greedy', 'sortings']"
1295,B,1700,"['math', 'strings']"
1327,C,1600,"['constructive algorithms', 'implementation']"
1321,C,1600,"['brute force', 'constructive algorithms', 'greedy', 'strings']"
1303,C,1600,"['dfs and similar', 'greedy', 'implementation']"
1295,C,1600,"['dp', 'greedy', 'strings']"
1294,D,1600,"['data structures', 'greedy', 'implementation', 'math']"
1288,C,1600,"['combinatorics', 'dp']"
1284,C,1600,"['combinatorics', 'math']"
1282,B1,1400,"['dp', 'greedy', 'sortings']"
1282,B2,1600,"['dp', 'greedy', 'sortings']"
1255,C,1600,"['constructive algorithms', 'implementation']"
1252,C,1600,"['data structures', 'implementation']"
1243,B2,1600,['strings']
1238,C,1600,"['dp', 'greedy', 'math']"
1729,C,1100,"['constructive algorithms', 'strings']"
1729,E,1800,"['interactive', 'probabilities']"
1729,D,1200,"['greedy', 'sortings', 'two pointers']"
1729,B,800,"['greedy', 'strings']"
1729,A,800,['math']
1519,D,1600,"['brute force', 'dp', 'implementation', 'math', 'two pointers']"
1459,C,1600,"['math', 'number theory']"
1475,D,1800,"['binary search', 'dp', 'sortings', 'two pointers']"
1282,C,1800,"['greedy', 'sortings', 'two pointers']"
1267,J,1800,"['greedy', 'implementation', 'math']"
1728,B,800,"['constructive algorithms', 'greedy']"
1728,A,800,"['brute force', 'greedy', 'implementation', 'sortings']"
1728,C,1400,"['data structures', 'greedy', 'sortings']"
1255,E1,1800,"['greedy', 'math', 'number theory']"
1252,H,1800,"['greedy', 'implementation']"
1726,C,1300,"['data structures', 'dsu', 'graphs', 'greedy']"
1227,D2,1800,"['data structures', 'greedy']"
1227,D1,1600,"['data structures', 'greedy']"
1250,B,1800,"['brute force', 'constructive algorithms', 'greedy', 'math']"
1535,D,1800,"['data structures', 'dfs and similar', 'dp', 'implementation', 'trees']"
1305,C,1600,"['brute force', 'combinatorics', 'math', 'number theory']"
1514,C,1600,"['greedy', 'number theory']"
1281,B,1600,['greedy']
1234,D,1600,['data structures']
1251,C,1600,"['greedy', 'two pointers']"
1539,D,1600,"['binary search', 'greedy', 'implementation', 'sortings', 'two pointers']"
1567,C,1600,"['bitmasks', 'combinatorics', 'dp', 'math']"
1598,D,1700,"['combinatorics', 'data structures', 'geometry', 'implementation', 'math']"
1714,D,1600,"['brute force', 'data structures', 'dp', 'greedy', 'strings']"
1722,E,1600,"['brute force', 'data structures', 'dp', 'implementation']"
1721,D,1800,"['bitmasks', 'dfs and similar', 'divide and conquer', 'greedy', 'sortings']"
1722,G,1500,"['bitmasks', 'constructive algorithms', 'greedy']"
1691,D,1800,"['binary search', 'constructive algorithms', 'data structures', 'divide and conquer', 'implementation', 'two pointers']"
1333,C,1700,"['binary search', 'data structures', 'implementation', 'two pointers']"
1708,C,1600,"['binary search', 'greedy']"
1686,C,1100,"['constructive algorithms', 'greedy', 'sortings']"
1644,D,1700,"['data structures', 'implementation', 'math']"
1492,C,1500,"['binary search', 'data structures', 'dp', 'greedy', 'two pointers']"
1542,C,1600,"['math', 'number theory']"
1698,D,1600,"['binary search', 'constructive algorithms', 'interactive']"
1718,A1,1800,"['dp', 'greedy']"
1672,D,1700,"['constructive algorithms', 'greedy', 'implementation', 'two pointers']"
1709,C,1800,"['constructive algorithms', 'greedy', 'implementation', 'strings']"
1188,A1,1600,['trees']
1715,C,1700,"['combinatorics', 'data structures', 'implementation', 'math']"
1131,F,1700,"['constructive algorithms', 'dsu']"
1713,D,1800,"['constructive algorithms', 'greedy', 'interactive', 'number theory', 'probabilities']"
1479,A,1700,"['binary search', 'interactive', 'ternary search']"
1301,C,1700,"['binary search', 'combinatorics', 'greedy', 'math', 'strings']"
1720,D1,1800,"['bitmasks', 'brute force', 'dp', 'strings', 'trees', 'two pointers']"
1348,B,1400,"['constructive algorithms', 'data structures', 'greedy', 'sortings']"
1351,C,1400,"['data structures', 'implementation']"
1355,D,1400,"['constructive algorithms', 'math']"
1408,B,1400,"['constructive algorithms', 'greedy', 'math']"
1362,C,1400,"['bitmasks', 'greedy', 'math']"
1540,A,1400,"['constructive algorithms', 'graphs', 'greedy', 'shortest paths', 'sortings']"
1397,B,1500,"['brute force', 'math', 'number theory', 'sortings']"
1684,D,1700,"['constructive algorithms', 'greedy', 'sortings']"
1675,D,1300,"['graphs', 'implementation', 'trees']"
1675,E,1500,"['dsu', 'greedy', 'strings']"
1675,C,1100,['implementation']
1675,B,900,"['greedy', 'implementation']"
1675,A,800,"['greedy', 'math']"
1674,B,800,"['combinatorics', 'math']"
1674,C,1000,"['combinatorics', 'implementation', 'strings']"
1674,D,1200,"['constructive algorithms', 'implementation', 'sortings']"
1674,A,800,"['constructive algorithms', 'math']"
1674,E,2000,"['binary search', 'brute force', 'constructive algorithms', 'greedy', 'math']"
1428,B,1200,"['graphs', 'implementation']"
676,C,1500,"['binary search', 'dp', 'strings', 'two pointers']"
1561,D1,1700,"['brute force', 'data structures', 'dp', 'math', 'number theory']"
1672,B,800,"['constructive algorithms', 'implementation']"
1672,C,1100,"['constructive algorithms', 'greedy', 'implementation']"
1672,A,800,"['games', 'implementation', 'math']"
1671,D,1600,"['brute force', 'constructive algorithms', 'greedy']"
1671,C,1200,"['binary search', 'brute force', 'greedy', 'math']"
1669,E,1200,"['data structures', 'math', 'strings']"
1669,D,1100,['implementation']
1669,B,800,"['implementation', 'sortings']"
1669,A,800,['implementation']
1669,C,800,"['greedy', 'greedy', 'implementation', 'math']"
1481,C,1600,"['brute force', 'constructive algorithms', 'greedy']"
1659,A,1000,"['constructive algorithms', 'greedy', 'implementation', 'math']"
1659,C,1500,"['binary search', 'brute force', 'dp', 'greedy', 'implementation', 'math']"
1661,B,1300,"['bitmasks', 'brute force', 'dfs and similar', 'dp', 'graphs', 'greedy', 'shortest paths']"
1661,A,800,"['greedy', 'math']"
1661,C,1700,"['binary search', 'greedy', 'math']"
1665,C,1600,"['binary search', 'greedy', 'sortings', 'trees']"
1665,B,900,"['constructive algorithms', 'greedy', 'sortings']"
1665,A,800,"['constructive algorithms', 'math']"
1213,D2,1600,"['brute force', 'math', 'sortings']"
1213,D1,1500,"['brute force', 'implementation']"
1228,C,1700,"['math', 'number theory']"
1236,B,1500,"['combinatorics', 'math']"
1630,A,1500,"['bitmasks', 'constructive algorithms']"
1373,D,1600,"['divide and conquer', 'dp', 'greedy', 'implementation']"
1537,E2,2200,"['binary search', 'data structures', 'greedy', 'hashing', 'string suffix structures', 'strings', 'two pointers']"
1537,E1,1600,"['binary search', 'brute force', 'dp', 'greedy', 'hashing', 'implementation', 'string suffix structures', 'strings', 'two pointers']"
1349,A,1600,"['data structures', 'math', 'number theory']"
1358,C,1600,['math']
1352,G,1600,['constructive algorithms']
1475,E,1600,"['combinatorics', 'math', 'sortings']"
1513,B,1400,"['bitmasks', 'combinatorics', 'constructive algorithms', 'math']"
1663,A,,"['*special', 'expression parsing', 'trees']"
1660,F1,1700,"['brute force', 'implementation', 'math', 'strings']"
1660,D,1600,"['brute force', 'implementation', 'math', 'two pointers']"
1660,C,1300,"['dp', 'greedy', 'strings']"
1660,B,800,['math']
1660,A,800,"['greedy', 'math']"
1658,D2,2300,"['bitmasks', 'brute force', 'data structures', 'math']"
1658,D1,1600,"['bitmasks', 'math']"
1658,C,1700,"['constructive algorithms', 'math']"
1658,B,800,"['combinatorics', 'math', 'number theory']"
1658,A,800,"['constructive algorithms', 'implementation', 'math']"
1656,C,1200,"['constructive algorithms', 'math', 'number theory', 'sortings']"
1656,B,1100,"['data structures', 'greedy', 'math', 'two pointers']"
1656,A,800,"['math', 'sortings']"
1270,C,1400,"['bitmasks', 'constructive algorithms', 'math']"
1657,C,1200,"['greedy', 'implementation']"
1657,B,800,['greedy']
1657,A,800,"['brute force', 'math']"
1550,B,1000,"['greedy', 'math']"
1263,D,1500,"['dfs and similar', 'dsu', 'graphs']"
1263,C,1400,"['binary search', 'math', 'meet-in-the-middle', 'number theory']"
1263,B,1400,"['greedy', 'implementation']"
1263,A,1100,['math']
1654,B,800,['strings']
1654,A,800,"['brute force', 'greedy', 'implementation', 'sortings']"
1215,D,1700,"['games', 'greedy', 'math']"
1215,C,1500,"['constructive algorithms', 'greedy']"
1215,A,1000,"['greedy', 'implementation', 'math']"
1201,B,1500,"['greedy', 'math']"
1647,B,1200,"['brute force', 'constructive algorithms', 'graphs', 'implementation']"
1647,C,1300,"['constructive algorithms', 'greedy']"
1647,A,800,"['implementation', 'math']"
1651,C,1500,"['brute force', 'data structures', 'implementation']"
1651,B,800,"['constructive algorithms', 'greedy']"
1651,A,800,['implementation']
1635,B,800,['greedy']
1650,D,1300,"['brute force', 'constructive algorithms', 'implementation', 'math']"
1650,C,1200,"['greedy', 'hashing', 'implementation', 'sortings']"
1650,B,900,['math']
1650,A,800,"['implementation', 'strings']"
1245,A,1000,"['math', 'number theory']"
1245,B,1200,"['constructive algorithms', 'dp', 'greedy']"
1364,C,1600,"['brute force', 'constructive algorithms', 'greedy']"
1364,A,1200,"['brute force', 'data structures', 'number theory', 'two pointers']"
1364,B,1300,"['greedy', 'two pointers']"
1313,C2,1900,"['data structures', 'dp', 'greedy']"
1313,C1,1500,"['brute force', 'data structures', 'dp', 'greedy']"
1313,B,1700,"['constructive algorithms', 'greedy', 'implementation', 'math']"
1313,A,900,"['brute force', 'greedy', 'implementation']"
1646,C,1500,"['bitmasks', 'brute force', 'constructive algorithms', 'dp', 'math']"
1646,B,800,"['brute force', 'constructive algorithms', 'greedy', 'sortings', 'two pointers']"
1646,A,800,['math']
1422,B,1300,"['greedy', 'implementation', 'math']"
1422,C,1700,"['combinatorics', 'dp', 'math']"
1422,A,800,"['geometry', 'math']"
1547,E,1500,"['data structures', 'dp', 'implementation', 'shortest paths', 'sortings', 'two pointers']"
1638,C,1300,"['data structures', 'dsu', 'graphs', 'math']"
1551,C,1500,"['greedy', 'sortings', 'strings']"
1557,B,1100,"['greedy', 'sortings']"
1557,A,800,"['brute force', 'math', 'sortings']"
1623,A,800,"['brute force', 'implementation', 'math']"
1253,B,1400,"['greedy', 'implementation']"
1253,C,1500,"['dp', 'greedy', 'math', 'sortings']"
1253,A,1000,['implementation']
1627,C,1400,"['constructive algorithms', 'dfs and similar', 'number theory', 'trees']"
1490,E,1400,"['binary search', 'data structures', 'greedy']"
1291,C,1600,"['brute force', 'data structures', 'greedy', 'math']"
1291,B,1300,"['greedy', 'implementation']"
1291,A,900,"['greedy', 'math', 'strings']"
1437,D,1600,"['graphs', 'greedy', 'shortest paths', 'trees']"
1629,C,1400,"['constructive algorithms', 'data structures', 'greedy', 'math', 'two pointers']"
1437,B,1200,"['constructive algorithms', 'greedy']"
1437,A,800,"['brute force', 'constructive algorithms', 'greedy', 'math']"
1549,C,1400,"['graphs', 'greedy']"
1405,C,1500,"['greedy', 'implementation', 'strings']"
1405,B,1000,"['constructive algorithms', 'implementation']"
1405,A,800,['constructive algorithms']
1419,D2,1500,"['binary search', 'brute force', 'constructive algorithms', 'greedy', 'sortings', 'two pointers']"
1419,C,1500,"['greedy', 'implementation', 'math']"
1419,D1,1000,"['binary search', 'constructive algorithms', 'greedy', 'sortings']"
1419,B,1200,"['brute force', 'constructive algorithms', 'greedy', 'implementation', 'math']"
1419,A,900,"['games', 'greedy', 'implementation']"
1551,B2,1400,"['binary search', 'constructive algorithms', 'data structures', 'greedy']"
1579,D,1400,"['constructive algorithms', 'graphs', 'greedy']"
1573,B,1400,"['greedy', 'math', 'sortings']"
