contestId,index,rating,tags
543,A,1800,['dp']
1744,E2,1900,"['brute force', 'math', 'number theory']"
1744,E1,1500,"['brute force', 'math', 'number theory']"
1749,C,1400,"['binary search', 'data structures', 'games', 'greedy', 'implementation']"
1749,B,900,['greedy']
1749,A,800,"['greedy', 'implementation']"
1746,D,1900,"['dfs and similar', 'dp', 'greedy', 'sortings', 'trees']"
1738,D,1900,"['constructive algorithms', 'data structures', 'dfs and similar', 'dsu', 'graphs', 'trees']"
1743,B,800,"['constructive algorithms', 'greedy']"
1743,A,800,"['brute force', 'combinatorics', 'implementation', 'math']"
1733,D2,2000,"['dp', 'greedy']"
1744,C,1000,"['binary search', 'implementation', 'two pointers']"
1744,B,800,"['implementation', 'math']"
1744,A,800,"['greedy', 'implementation']"
1746,C,1300,"['constructive algorithms', 'greedy', 'implementation', 'math']"
1746,B,800,"['constructive algorithms', 'greedy', 'two pointers']"
1746,A,800,"['constructive algorithms', 'greedy']"
580,D,1800,"['bitmasks', 'dp']"
1734,A,800,"['brute force', 'greedy', 'sortings']"
1733,B,900,"['constructive algorithms', 'math']"
1733,A,800,"['greedy', 'sortings']"
1715,D,1900,"['2-sat', 'bitmasks', 'graphs', 'greedy']"
1714,F,1900,"['constructive algorithms', 'implementation', 'trees']"
1712,D,2000,"['binary search', 'constructive algorithms', 'data structures', 'greedy', 'shortest paths']"
1709,D,1700,"['binary search', 'data structures', 'greedy', 'math']"
1709,C,1800,"['constructive algorithms', 'greedy', 'implementation', 'strings']"
1707,B,1900,"['brute force', 'data structures', 'implementation', 'sortings']"
1707,A,1600,"['binary search', 'constructive algorithms', 'greedy', 'implementation']"
1706,D1,1700,"['binary search', 'brute force', 'constructive algorithms', 'greedy', 'number theory']"
1728,C,1400,"['data structures', 'greedy', 'sortings']"
1728,B,800,"['constructive algorithms', 'greedy']"
1728,A,800,"['brute force', 'greedy', 'implementation', 'sortings']"
1705,D,1800,"['combinatorics', 'constructive algorithms', 'greedy', 'math', 'sortings']"
1704,D,1900,"['constructive algorithms', 'hashing', 'implementation', 'math']"
1702,F,1700,"['constructive algorithms', 'data structures', 'greedy', 'math', 'number theory']"
1702,G1,1900,"['dfs and similar', 'trees']"
1702,G2,2000,"['data structures', 'dfs and similar', 'trees']"
1702,E,1600,"['dfs and similar', 'dsu', 'graphs']"
1701,D,1900,"['binary search', 'data structures', 'greedy', 'math', 'sortings', 'two pointers']"
1700,D,1900,"['binary search', 'dp', 'greedy', 'math']"
1700,C,1700,"['constructive algorithms', 'data structures', 'greedy']"
1699,C,1700,"['combinatorics', 'constructive algorithms', 'math']"
1696,E,2000,"['combinatorics', 'math']"
1696,D,1900,"['binary search', 'constructive algorithms', 'data structures', 'divide and conquer', 'greedy', 'shortest paths']"
1717,C,1300,['greedy']
1717,B,1100,"['constructive algorithms', 'implementation']"
1717,A,800,"['math', 'number theory']"
1695,C,1700,"['brute force', 'data structures', 'dp', 'graphs', 'greedy', 'shortest paths']"
1692,H,1700,"['data structures', 'dp', 'greedy', 'math']"
1691,D,1800,"['binary search', 'constructive algorithms', 'data structures', 'divide and conquer', 'implementation', 'two pointers']"
1691,C,1400,"['brute force', 'constructive algorithms', 'greedy', 'math', 'strings']"
1690,F,1700,"['graphs', 'math', 'number theory', 'strings']"
1690,E,1500,"['binary search', 'greedy', 'math', 'two pointers']"
1689,D,1900,"['data structures', 'dp', 'geometry', 'shortest paths']"
1689,C,1600,"['dfs and similar', 'dp', 'trees']"
1688,C,1700,"['constructive algorithms', 'greedy', 'strings']"
1721,D,1800,"['bitmasks', 'dfs and similar', 'divide and conquer', 'greedy', 'sortings']"
1721,C,1400,"['binary search', 'greedy', 'two pointers']"
1721,B,1000,['implementation']
1721,A,800,"['greedy', 'implementation']"
1687,A,1600,"['brute force', 'greedy']"
1684,D,1700,"['constructive algorithms', 'greedy', 'sortings']"
1682,D,2000,"['constructive algorithms', 'implementation', 'trees']"
1682,C,1400,"['constructive algorithms', 'greedy', 'implementation', 'math']"
1681,D,1700,"['brute force', 'dfs and similar', 'dp', 'hashing', 'shortest paths']"
1680,E,2000,"['bitmasks', 'dp', 'greedy']"
1715,C,1700,"['combinatorics', 'data structures', 'implementation', 'math']"
1715,B,1000,"['constructive algorithms', 'greedy', 'math']"
1715,A,800,"['constructive algorithms', 'greedy', 'math']"
1680,C,1600,"['binary search', 'greedy', 'strings', 'two pointers']"
1679,D,1900,"['binary search', 'dfs and similar', 'dp', 'graphs']"
1720,D1,1800,"['bitmasks', 'brute force', 'dp', 'strings', 'trees', 'two pointers']"
1720,C,1200,"['greedy', 'implementation']"
1720,B,800,"['brute force', 'data structures', 'greedy', 'math', 'sortings']"
1720,A,900,"['math', 'number theory']"
1679,C,1400,"['data structures', 'implementation']"
1678,B2,1800,"['dp', 'greedy', 'implementation']"
1678,B1,800,['implementation']
1719,D2,1900,"['bitmasks', 'dp', 'greedy', 'math']"
1719,D1,1800,"['bitmasks', 'brute force', 'dp', 'greedy']"
1719,C,1400,"['binary search', 'data structures', 'implementation', 'two pointers']"
1719,B,800,"['constructive algorithms', 'math']"
1719,A,800,"['games', 'math']"
1677,B,1700,"['data structures', 'implementation', 'math']"
1677,A,1600,"['brute force', 'data structures', 'dp']"
1676,H1,1400,['brute force']
1676,H2,1500,"['data structures', 'divide and conquer', 'sortings']"
1675,F,1800,"['dfs and similar', 'dp', 'greedy', 'trees']"
1675,E,1500,"['dsu', 'greedy', 'strings']"
1674,G,2000,"['dfs and similar', 'dp', 'graphs']"
1674,F,1800,"['data structures', 'greedy', 'implementation']"
1674,E,2000,"['binary search', 'brute force', 'constructive algorithms', 'greedy', 'math']"
1712,C,1100,"['greedy', 'sortings']"
1712,B,800,"['constructive algorithms', 'greedy', 'number theory']"
1712,A,800,"['greedy', 'implementation']"
1673,C,1500,"['brute force', 'dp', 'math', 'number theory']"
1672,D,1700,"['constructive algorithms', 'greedy', 'implementation', 'two pointers']"
1671,D,1600,"['brute force', 'constructive algorithms', 'greedy']"
1670,D,1700,"['binary search', 'brute force', 'geometry', 'greedy', 'implementation', 'math']"
1666,L,1800,"['dfs and similar', 'graphs']"
1714,C,800,['greedy']
1714,B,800,"['data structures', 'greedy', 'implementation']"
1714,A,900,"['implementation', 'math']"
1716,A,800,"['greedy', 'math']"
1701,A,800,['implementation']
1709,B,900,"['data structures', 'dp', 'implementation']"
1709,A,800,"['brute force', 'greedy', 'implementation', 'math']"
1706,B,1100,"['dp', 'greedy', 'math']"
1706,A,800,"['2-sat', 'constructive algorithms', 'greedy', 'string suffix structures', 'strings']"
1708,B,1100,"['constructive algorithms', 'math']"
1708,A,800,"['greedy', 'math']"
1694,B,1200,"['constructive algorithms', 'greedy']"
1694,C,1300,['greedy']
1678,A,800,['implementation']
1670,C,1400,"['data structures', 'dfs and similar', 'dsu', 'graphs', 'implementation', 'math']"
1670,B,1100,"['brute force', 'implementation', 'strings']"
1670,A,800,"['greedy', 'implementation', 'sortings']"
1675,B,900,"['greedy', 'implementation']"
1675,A,800,"['greedy', 'math']"
1673,A,800,"['games', 'greedy', 'strings']"
1674,D,1200,"['constructive algorithms', 'implementation', 'sortings']"
1674,C,1000,"['combinatorics', 'implementation', 'strings']"
1674,B,800,"['combinatorics', 'math']"
1674,A,800,"['constructive algorithms', 'math']"
1671,B,1000,"['brute force', 'math', 'sortings']"
1671,A,800,['implementation']
1668,C,1300,"['brute force', 'greedy', 'math']"
1668,B,900,"['greedy', 'math', 'sortings']"
1668,A,800,"['implementation', 'math']"
1659,C,1500,"['binary search', 'brute force', 'dp', 'greedy', 'implementation', 'math']"
1659,A,1000,"['constructive algorithms', 'greedy', 'implementation', 'math']"
1661,D,1900,"['data structures', 'greedy']"
1665,C,1600,"['binary search', 'greedy', 'sortings', 'trees']"
1661,C,1700,"['binary search', 'greedy', 'math']"
1661,B,1300,"['bitmasks', 'brute force', 'dfs and similar', 'dp', 'graphs', 'greedy', 'shortest paths']"
1661,A,800,"['greedy', 'math']"
1660,E,1600,"['brute force', 'constructive algorithms', 'greedy', 'implementation']"
1660,F1,1700,"['brute force', 'implementation', 'math', 'strings']"
1660,C,1300,"['dp', 'greedy', 'strings']"
1660,D,1600,"['brute force', 'implementation', 'math', 'two pointers']"
1660,B,800,['math']
1660,A,800,"['greedy', 'math']"
1658,C,1700,"['constructive algorithms', 'math']"
1658,D1,1600,"['bitmasks', 'math']"
1658,B,800,"['combinatorics', 'math', 'number theory']"
1658,A,800,"['constructive algorithms', 'implementation', 'math']"
1656,D,1900,"['constructive algorithms', 'math', 'number theory']"
1656,C,1200,"['constructive algorithms', 'math', 'number theory', 'sortings']"
1656,B,1100,"['data structures', 'greedy', 'math', 'two pointers']"
1656,A,800,"['math', 'sortings']"
919,D,1700,"['dfs and similar', 'dp', 'graphs']"
1657,C,1200,"['greedy', 'implementation']"
1657,B,800,['greedy']
1657,A,800,"['brute force', 'math']"
1654,C,1400,"['data structures', 'greedy', 'implementation', 'sortings']"
1654,B,800,['strings']
1654,A,800,"['brute force', 'greedy', 'implementation', 'sortings']"
1650,E,1900,"['binary search', 'data structures', 'greedy', 'implementation', 'math', 'sortings']"
1647,A,800,"['implementation', 'math']"
1651,C,1500,"['brute force', 'data structures', 'implementation']"
1651,B,800,"['constructive algorithms', 'greedy']"
1651,A,800,['implementation']
1650,B,900,['math']
1650,D,1300,"['brute force', 'constructive algorithms', 'implementation', 'math']"
1650,C,1200,"['greedy', 'hashing', 'implementation', 'sortings']"
1650,A,800,"['implementation', 'strings']"
1649,B,1300,"['greedy', 'implementation']"
1649,A,800,['implementation']
1646,C,1500,"['bitmasks', 'brute force', 'constructive algorithms', 'dp', 'math']"
1646,B,800,"['brute force', 'constructive algorithms', 'greedy', 'sortings', 'two pointers']"
1646,A,800,['math']
1644,D,1700,"['data structures', 'implementation', 'math']"
1642,C,1200,"['greedy', 'sortings']"
1642,B,900,['greedy']
1642,A,800,['geometry']
1635,C,1200,"['constructive algorithms', 'greedy']"
1644,C,1400,"['brute force', 'dp', 'greedy', 'implementation']"
1644,B,800,"['brute force', 'constructive algorithms', 'implementation']"
1644,A,800,['implementation']
1635,B,800,['greedy']
1635,A,800,"['bitmasks', 'greedy']"
1638,C,1300,"['data structures', 'dsu', 'graphs', 'math']"
1638,B,1100,"['data structures', 'math', 'sortings']"
1638,A,800,"['constructive algorithms', 'greedy', 'math']"
1637,C,1200,"['greedy', 'implementation']"
1637,B,1100,"['brute force', 'dp', 'greedy', 'math']"
1637,A,800,"['brute force', 'sortings']"
1611,F,1800,"['binary search', 'data structures', 'two pointers']"
1611,C,1000,['constructive algorithms']
1611,B,800,"['binary search', 'constructive algorithms', 'math']"
1611,A,800,"['constructive algorithms', 'math']"
1614,D1,2100,"['dp', 'number theory']"
1614,C,1500,"['bitmasks', 'combinatorics', 'constructive algorithms', 'dp', 'math']"
1614,B,1000,"['constructive algorithms', 'sortings']"
